FPS,3.00E+14,3.00E+15
L,2.00E+14,1.38E+15
A,3.00E+14,4.00E+15
APR,7.75E+14,1.00E+15
ABPR1,7.35E+14,1.00E+15
ABPR2,1.00E+15,1.10E+15
ABPR3,9.90E+14,1.20E+15
BBB1,8.40E+14,1.10E+15
BBB2,8.20E+14,1.10E+15
HLPS1,9.00E+14,1.00E+15
HLPS2,6.00E+14,8.50E+14
HLPS3,4.50E+14,5.50E+14
B,3.00E+14,1.50E+15
C,3.00E+14,1.20E+15
F,3.00E+14,1.30E+15
G,3.00E+14,1.40E+15
Pol0,5.60E+14,1.00E+15
Pol1,5.15E+14,6.00E+14
Pol2,5.20E+14,9.00E+14
Pol3,4.10E+14,1.80E+15
Pol4,5.00E+14,1.40E+15
Pol5,4.00E+14,1.00E+15
Pol6,3.40E+14,8.00E+14
Pol7,6.50E+14,2.00E+15
Pol8,8.00E+14,2.00E+15
Pol9,7.40E+14,1.80E+15
