APR,8.70E+14,2.40E+15
BBB,7.00E+14,2.80E+15
BLC,6.00E+14,2.30E+15
CMF1,4.00E+14,1.70E+15
CMF1H,4.00E+14,2.10E+15
CMF2,4.00E+14,1.80E+15
D1MStar,6.50E+14,2.00E+15
DDMEX,4.50E+14,1.00E+15
GDFMII,4.00E+14,1.50E+15
KDE0v,7.20E+14,3.00E+15
M3,5.50E+14,9.00E+14
NL3,3.70E+14,7.50E+14
PCSB2,5.00E+14,1.60E+15
PKDD,4.50E+14,1.60E+15
QHC21A,5.80E+14,1.80E+15
QMCRMF3,6.00E+14,2.20E+15
Rs,4.80E+14,2.20E+15
SK255,4.80E+14,2.50E+15
Ska,5.00E+14,2.00E+15
TW,5.80E+14,2.10E+15
Pol0,5.60E+14,1.00E+15
Pol1,5.15E+14,6.00E+14
Pol2,5.20E+14,9.00E+14
Pol3,4.10E+14,1.80E+15
Pol4,5.00E+14,1.40E+15
Pol5,4.00E+14,1.00E+15
Pol6,3.40E+14,8.00E+14
Pol7,6.50E+14,2.00E+15
Pol8,8.00E+14,2.00E+15
Pol9,7.40E+14,1.80E+15
